variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_fs,48,2,24,1,sub_0,28480,3168,0.1869,0.2432,1.0361,0.0099,14656,59.62,0.0608,1
hier_fs,48,2,24,1,sub_1,28480,3168,0.1869,0.2432,1.0418,0.0096,14656,59.61,0.0608,1
hier_fs,48,2,24,1,glue,5094,372,0.1678,0.2105,0.5508,0.0095,14656,28.48,0.0608,1
hier_fs,48,2,24,2,sub_0,28480,3168,0.1869,0.2428,0.9664,0.0088,14656,59.48,0.0767,1
hier_fs,48,2,24,2,sub_1,28480,3168,0.1869,0.2405,0.9603,0.0087,14656,59.8,0.0767,1
hier_fs,48,2,24,2,glue,5094,372,0.1678,0.2211,0.5855,0.0088,14656,28.18,0.0767,1
hier_fs,48,2,24,3,sub_0,28480,3168,0.1869,0.2313,0.9654,0.009,14656,59.49,0.0671,1
hier_fs,48,2,24,3,sub_1,28480,3168,0.1869,0.2293,0.9567,0.0087,14656,59.43,0.0671,1
hier_fs,48,2,24,3,glue,5094,372,0.1678,0.2188,0.5716,0.0085,14656,28.2,0.0671,1
hier_fs,48,4,12,1,sub_0,15184,1524,0.2422,0.3521,1.0799,0.0089,14656,40.81,0.0839,1
hier_fs,48,4,12,1,sub_1,15184,1524,0.2422,0.3583,1.065,0.0088,14656,41.0,0.0839,1
hier_fs,48,4,12,1,sub_2,15184,1524,0.2422,0.2533,1.1704,0.0121,14656,40.88,0.0839,1
hier_fs,48,4,12,1,sub_3,15184,1524,0.2422,0.259,1.1601,0.0128,14656,40.65,0.0839,1
hier_fs,48,4,12,1,glue,7187,644,0.1888,0.2367,0.7805,0.0189,14656,26.71,0.0839,1
hier_fs,48,4,12,2,sub_0,15184,1524,0.2422,0.333,1.1737,0.0092,14656,40.94,0.0776,1
hier_fs,48,4,12,2,sub_1,15184,1524,0.2422,0.3533,1.1281,0.0085,14656,37.61,0.0776,1
hier_fs,48,4,12,2,sub_2,15184,1524,0.2422,0.3148,1.1282,0.0085,14656,40.35,0.0776,1
hier_fs,48,4,12,2,sub_3,15184,1524,0.2422,0.3407,1.125,0.0086,14656,39.8,0.0776,1
hier_fs,48,4,12,2,glue,7187,644,0.1888,0.2982,0.8563,0.0091,14656,30.05,0.0776,1
hier_fs,48,4,12,3,sub_0,15184,1524,0.2422,0.3408,1.0835,0.0093,14656,40.5,0.0861,1
hier_fs,48,4,12,3,sub_1,15184,1524,0.2422,0.2628,1.1477,0.0088,14656,40.79,0.0861,1
hier_fs,48,4,12,3,sub_2,15184,1524,0.2422,0.3577,1.0734,0.0088,14656,40.86,0.0861,1
hier_fs,48,4,12,3,sub_3,15184,1524,0.2422,0.261,1.1711,0.0084,14656,40.89,0.0861,1
hier_fs,48,4,12,3,glue,7187,644,0.1888,0.2404,0.8155,0.009,14656,30.9,0.0861,1
hier_fs,48,8,6,1,sub_0,8536,702,0.2138,0.4898,1.8375,0.0089,14656,34.94,0.1126,1
hier_fs,48,8,6,1,sub_1,8536,702,0.2138,0.6733,1.6876,0.0086,14656,35.11,0.1126,1
hier_fs,48,8,6,1,sub_2,8536,702,0.2138,0.4255,1.7206,0.01,14656,35.04,0.1126,1
hier_fs,48,8,6,1,sub_3,8536,702,0.2138,0.4611,1.6098,0.0102,14656,34.14,0.1126,1
hier_fs,48,8,6,1,sub_4,8536,702,0.2138,0.5607,1.625,0.0167,14656,35.21,0.1126,1
hier_fs,48,8,6,1,sub_5,8536,702,0.2138,0.4217,1.6253,0.0194,14656,34.07,0.1126,1
hier_fs,48,8,6,1,sub_6,8536,702,0.2138,0.3943,1.7834,0.0153,14656,35.23,0.1126,1
hier_fs,48,8,6,1,sub_7,8536,702,0.2138,0.4494,1.8202,0.0101,14656,34.67,0.1126,1
hier_fs,48,8,6,1,glue,11373,1188,0.2079,0.4698,1.8001,0.0085,14656,37.84,0.1126,1
hier_fs,48,8,6,2,sub_0,8536,702,0.2138,0.4628,1.626,0.0095,14656,33.96,0.1112,1
hier_fs,48,8,6,2,sub_1,8536,702,0.2138,0.4555,1.7908,0.0089,14656,35.06,0.1112,1
hier_fs,48,8,6,2,sub_2,8536,702,0.2138,0.4452,1.6129,0.0089,14656,35.34,0.1112,1
hier_fs,48,8,6,2,sub_3,8536,702,0.2138,0.4137,1.9033,0.0086,14656,35.22,0.1112,1
hier_fs,48,8,6,2,sub_4,8536,702,0.2138,0.6177,1.7698,0.0096,14656,34.68,0.1112,1
hier_fs,48,8,6,2,sub_5,8536,702,0.2138,0.5967,1.7921,0.0143,14656,35.46,0.1112,1
hier_fs,48,8,6,2,sub_6,8536,702,0.2138,0.458,1.8581,0.017,14656,35.36,0.1112,1
hier_fs,48,8,6,2,sub_7,8536,702,0.2138,0.4223,1.9168,0.0211,14656,32.96,0.1112,1
hier_fs,48,8,6,2,glue,11373,1188,0.2079,0.4336,1.8915,0.0191,14656,37.48,0.1112,1
hier_fs,48,8,6,3,sub_0,8536,702,0.2138,0.409,1.728,0.0093,14656,33.94,0.1126,1
hier_fs,48,8,6,3,sub_1,8536,702,0.2138,0.7016,1.6639,0.0087,14656,34.74,0.1126,1
hier_fs,48,8,6,3,sub_2,8536,702,0.2138,0.4575,1.7519,0.0085,14656,34.99,0.1126,1
hier_fs,48,8,6,3,sub_3,8536,702,0.2138,0.6609,1.74,0.0088,14656,35.13,0.1126,1
hier_fs,48,8,6,3,sub_4,8536,702,0.2138,0.4864,1.6822,0.0129,14656,34.84,0.1126,1
hier_fs,48,8,6,3,sub_5,8536,702,0.2138,0.4639,1.8765,0.0151,14656,35.0,0.1126,1
hier_fs,48,8,6,3,sub_6,8536,702,0.2138,0.4851,1.409,0.0181,14656,33.35,0.1126,1
hier_fs,48,8,6,3,sub_7,8536,702,0.2138,0.4402,1.7344,0.014,14656,34.95,0.1126,1
hier_fs,48,8,6,3,glue,11373,1188,0.2079,0.4134,1.9204,0.0121,14656,37.56,0.1126,1
hier_fs,96,2,48,1,sub_0,63132,7490,0.4315,0.2972,1.7548,0.009,14656,106.34,0.0644,1
hier_fs,96,2,48,1,sub_1,63132,7490,0.4315,0.2947,1.7706,0.0088,14656,106.24,0.0644,1
hier_fs,96,2,48,1,glue,5533,512,0.2092,0.233,0.3985,0.0085,14656,29.24,0.0644,1
hier_fs,96,2,48,2,sub_0,63132,7490,0.4315,0.2733,1.8159,0.0089,14656,106.2,0.0637,1
hier_fs,96,2,48,2,sub_1,63132,7490,0.4315,0.2812,1.8119,0.0087,14656,104.56,0.0637,1
hier_fs,96,2,48,2,glue,5533,512,0.2092,0.2196,0.4728,0.0085,14656,29.05,0.0637,1
hier_fs,96,2,48,3,sub_0,63132,7490,0.4315,0.275,2.2432,0.0152,14656,104.73,0.0909,1
hier_fs,96,2,48,3,sub_1,63132,7490,0.4315,0.276,2.2567,0.0145,14656,104.89,0.0909,1
hier_fs,96,2,48,3,glue,5533,512,0.2092,0.2309,0.5385,0.014,14656,29.05,0.0909,1
hier_fs,96,4,24,1,sub_0,32424,3674,0.3883,0.3208,2.8647,0.015,14656,62.32,0.1064,1
hier_fs,96,4,24,1,sub_1,32424,3674,0.3883,0.3073,2.8412,0.0151,14656,62.36,0.1064,1
hier_fs,96,4,24,1,sub_2,32424,3674,0.3883,0.3536,2.799,0.0143,14656,62.18,0.1064,1
hier_fs,96,4,24,1,sub_3,32424,3674,0.3883,0.5216,2.7561,0.0133,14656,63.81,0.1064,1
hier_fs,96,4,24,1,glue,7969,828,0.2573,0.4329,1.7006,0.0136,14656,31.84,0.1064,1
hier_fs,96,4,24,2,sub_0,32424,3674,0.3883,0.5091,2.7958,0.0147,14656,63.72,0.0967,1
hier_fs,96,4,24,2,sub_1,32424,3674,0.3883,0.3415,2.9137,0.0163,14656,63.9,0.0967,1
hier_fs,96,4,24,2,sub_2,32424,3674,0.3883,0.496,2.8231,0.0193,14656,62.83,0.0967,1
hier_fs,96,4,24,2,sub_3,32424,3674,0.3883,0.3542,2.8646,0.0199,14656,63.74,0.0967,1
hier_fs,96,4,24,2,glue,7969,828,0.2573,0.3405,1.846,0.0196,14656,31.73,0.0967,1
hier_fs,96,4,24,3,sub_0,32424,3674,0.3883,0.4532,2.8468,0.0148,14656,63.96,0.0999,1
hier_fs,96,4,24,3,sub_1,32424,3674,0.3883,0.3416,2.9121,0.0156,14656,64.03,0.0999,1
hier_fs,96,4,24,3,sub_2,32424,3674,0.3883,0.3682,2.9573,0.0159,14656,64.04,0.0999,1
hier_fs,96,4,24,3,sub_3,32424,3674,0.3883,0.4894,2.8216,0.0164,14656,64.23,0.0999,1
hier_fs,96,4,24,3,glue,7969,828,0.2573,0.3145,1.7197,0.0206,14656,31.71,0.0999,1
hier_fs,96,8,12,1,sub_0,17070,1766,0.3268,0.5676,4.4244,0.0179,14656,49.12,0.137,1
hier_fs,96,8,12,1,sub_1,17070,1766,0.3268,0.5696,4.202,0.0135,14656,48.95,0.137,1
hier_fs,96,8,12,1,sub_2,17070,1766,0.3268,1.1618,3.9924,0.0134,14656,49.81,0.137,1
hier_fs,96,8,12,1,sub_3,17070,1766,0.3268,0.6562,4.3932,0.0129,14656,49.38,0.137,1
hier_fs,96,8,12,1,sub_4,17070,1766,0.3268,0.8185,4.1953,0.0131,14656,50.0,0.137,1
hier_fs,96,8,12,1,sub_5,17070,1766,0.3268,0.5723,4.4819,0.014,14656,48.91,0.137,1
hier_fs,96,8,12,1,sub_6,17070,1766,0.3268,0.5847,4.0928,0.0131,14656,48.45,0.137,1
hier_fs,96,8,12,1,sub_7,17070,1766,0.3268,0.6604,4.3145,0.0126,14656,50.23,0.137,1
hier_fs,96,8,12,1,glue,12841,1460,0.2596,0.5687,3.2026,0.0121,14656,39.14,0.137,1
hier_fs,96,8,12,2,sub_0,17070,1766,0.3268,0.5407,4.5099,0.0151,14656,50.0,0.1376,1
hier_fs,96,8,12,2,sub_1,17070,1766,0.3268,0.6227,4.3381,0.0152,14656,50.35,0.1376,1
hier_fs,96,8,12,2,sub_2,17070,1766,0.3268,0.6268,4.0555,0.0191,14656,50.42,0.1376,1
hier_fs,96,8,12,2,sub_3,17070,1766,0.3268,0.5868,4.2674,0.0217,14656,50.05,0.1376,1
hier_fs,96,8,12,2,sub_4,17070,1766,0.3268,0.7044,4.3337,0.0215,14656,50.4,0.1376,1
hier_fs,96,8,12,2,sub_5,17070,1766,0.3268,0.5514,4.3939,0.0192,14656,48.06,0.1376,1
hier_fs,96,8,12,2,sub_6,17070,1766,0.3268,0.5711,4.3152,0.0117,14656,49.95,0.1376,1
hier_fs,96,8,12,2,sub_7,17070,1766,0.3268,0.8339,4.1379,0.0115,14656,50.16,0.1376,1
hier_fs,96,8,12,2,glue,12841,1460,0.2596,0.678,3.34,0.0117,14656,37.17,0.1376,1
hier_fs,96,8,12,3,sub_0,17070,1766,0.3268,0.5756,4.4896,0.0149,14656,49.92,0.139,1
hier_fs,96,8,12,3,sub_1,17070,1766,0.3268,0.6151,4.3918,0.0146,14656,49.99,0.139,1
hier_fs,96,8,12,3,sub_2,17070,1766,0.3268,0.5683,4.2513,0.0183,14656,49.84,0.139,1
hier_fs,96,8,12,3,sub_3,17070,1766,0.3268,0.5846,4.4169,0.0196,14656,49.1,0.139,1
hier_fs,96,8,12,3,sub_4,17070,1766,0.3268,1.0254,4.0409,0.0203,14656,49.77,0.139,1
hier_fs,96,8,12,3,sub_5,17070,1766,0.3268,0.6968,4.3047,0.0157,14656,49.81,0.139,1
hier_fs,96,8,12,3,sub_6,17070,1766,0.3268,0.5888,4.4179,0.0129,14656,50.18,0.139,1
hier_fs,96,8,12,3,sub_7,17070,1766,0.3268,0.5976,4.4042,0.0121,14656,50.09,0.139,1
hier_fs,96,8,12,3,glue,12841,1460,0.2596,0.5646,3.2931,0.0116,14656,38.91,0.139,1
hier_fs,192,2,96,1,sub_0,140841,17212,0.8292,0.4822,6.0825,0.0139,14656,249.96,0.0794,1
hier_fs,192,2,96,1,sub_1,140841,17212,0.8292,0.4612,6.0723,0.0208,14656,249.58,0.0794,1
hier_fs,192,2,96,1,glue,6068,748,0.2178,0.2487,0.3322,0.0212,14656,29.66,0.0794,1
hier_fs,192,2,96,2,sub_0,140841,17212,0.8292,0.4677,6.1158,0.016,14656,249.69,0.0806,1
hier_fs,192,2,96,2,sub_1,140841,17212,0.8292,0.4727,6.1321,0.0151,14656,249.87,0.0806,1
hier_fs,192,2,96,2,glue,6068,748,0.2178,0.2338,0.3531,0.0164,14656,29.56,0.0806,1
hier_fs,192,2,96,3,sub_0,140841,17212,0.8292,0.4795,6.4029,0.024,14656,249.82,0.0747,1
hier_fs,192,2,96,3,sub_1,140841,17212,0.8292,0.4575,6.3953,0.0241,14656,250.43,0.0747,1
hier_fs,192,2,96,3,glue,6068,748,0.2178,0.2304,0.3481,0.0157,14656,29.41,0.0747,1
hier_fs,192,4,48,1,sub_0,71193,8524,0.5551,0.5748,7.1103,0.0143,14656,136.06,0.0959,1
hier_fs,192,4,48,1,sub_1,71193,8524,0.5551,0.4651,6.662,0.0135,14656,135.95,0.0959,1
hier_fs,192,4,48,1,sub_2,71193,8524,0.5551,0.5597,7.0805,0.0153,14656,135.72,0.0959,1
hier_fs,192,4,48,1,sub_3,71193,8524,0.5551,0.4977,7.2082,0.0212,14656,136.18,0.0959,1
hier_fs,192,4,48,1,glue,8847,1108,0.2597,0.4339,2.4941,0.0126,14656,35.64,0.0959,1
hier_fs,192,4,48,2,sub_0,71193,8524,0.5551,0.5442,6.9272,0.0147,14656,136.14,0.0977,1
hier_fs,192,4,48,2,sub_1,71193,8524,0.5551,0.5203,6.8781,0.0179,14656,135.8,0.0977,1
hier_fs,192,4,48,2,sub_2,71193,8524,0.5551,0.4689,6.7783,0.0218,14656,135.85,0.0977,1
hier_fs,192,4,48,2,sub_3,71193,8524,0.5551,0.5752,6.8338,0.0214,14656,135.73,0.0977,1
hier_fs,192,4,48,2,glue,8847,1108,0.2597,0.4355,2.2503,0.0194,14656,35.63,0.0977,1
hier_fs,192,4,48,3,sub_0,71193,8524,0.5551,0.3881,6.8489,0.0159,14656,135.98,0.098,1
hier_fs,192,4,48,3,sub_1,71193,8524,0.5551,0.5518,6.7089,0.0177,14656,136.23,0.098,1
hier_fs,192,4,48,3,sub_2,71193,8524,0.5551,0.4196,6.7611,0.0216,14656,135.62,0.098,1
hier_fs,192,4,48,3,sub_3,71193,8524,0.5551,0.565,6.7231,0.0205,14656,135.8,0.098,1
hier_fs,192,4,48,3,glue,8847,1108,0.2597,0.2893,2.0348,0.013,14656,35.93,0.098,1
hier_fs,192,8,24,1,sub_0,36369,4180,0.3925,0.6244,7.6369,0.015,14656,77.06,0.1335,1
hier_fs,192,8,24,1,sub_1,36369,4180,0.3925,0.8068,7.5392,0.0145,14656,79.95,0.1335,1
hier_fs,192,8,24,1,sub_2,36369,4180,0.3925,0.5993,7.7239,0.0142,14656,79.32,0.1335,1
hier_fs,192,8,24,1,sub_3,36369,4180,0.3925,0.5589,6.8488,0.0201,14656,80.14,0.1335,1
hier_fs,192,8,24,1,sub_4,36369,4180,0.3925,0.6408,7.1392,0.0201,14656,79.36,0.1335,1
hier_fs,192,8,24,1,sub_5,36369,4180,0.3925,0.7751,7.5577,0.0154,14656,80.0,0.1335,1
hier_fs,192,8,24,1,sub_6,36369,4180,0.3925,0.6314,7.3714,0.0117,14656,79.12,0.1335,1
hier_fs,192,8,24,1,sub_7,36369,4180,0.3925,0.6363,7.5847,0.0118,14656,79.38,0.1335,1
hier_fs,192,8,24,1,glue,14405,1828,0.2492,0.6276,3.9111,0.0119,14656,38.98,0.1335,1
hier_fs,192,8,24,2,sub_0,36369,4180,0.3925,0.6282,7.5853,0.0143,14656,79.26,0.1299,1
hier_fs,192,8,24,2,sub_1,36369,4180,0.3925,0.8991,7.4093,0.0156,14656,79.39,0.1299,1
hier_fs,192,8,24,2,sub_2,36369,4180,0.3925,0.599,7.7269,0.0219,14656,80.26,0.1299,1
hier_fs,192,8,24,2,sub_3,36369,4180,0.3925,0.5723,7.5526,0.0212,14656,79.99,0.1299,1
hier_fs,192,8,24,2,sub_4,36369,4180,0.3925,0.7128,7.5494,0.0193,14656,79.11,0.1299,1
hier_fs,192,8,24,2,sub_5,36369,4180,0.3925,0.7265,7.4436,0.0116,14656,79.52,0.1299,1
hier_fs,192,8,24,2,sub_6,36369,4180,0.3925,0.6768,7.6176,0.0116,14656,78.83,0.1299,1
hier_fs,192,8,24,2,sub_7,36369,4180,0.3925,0.597,7.3807,0.0125,14656,80.04,0.1299,1
hier_fs,192,8,24,2,glue,14405,1828,0.2492,0.6273,3.9395,0.0117,14656,37.21,0.1299,1
hier_fs,192,8,24,3,sub_0,36369,4180,0.3925,0.7224,7.619,0.0175,14656,80.15,0.1286,1
hier_fs,192,8,24,3,sub_1,36369,4180,0.3925,0.6642,7.4884,0.0216,14656,79.04,0.1286,1
hier_fs,192,8,24,3,sub_2,36369,4180,0.3925,0.6348,7.6144,0.0203,14656,78.96,0.1286,1
hier_fs,192,8,24,3,sub_3,36369,4180,0.3925,0.6275,7.587,0.0191,14656,80.18,0.1286,1
hier_fs,192,8,24,3,sub_4,36369,4180,0.3925,0.6491,7.4503,0.0131,14656,80.16,0.1286,1
hier_fs,192,8,24,3,sub_5,36369,4180,0.3925,0.6727,7.544,0.0125,14656,80.25,0.1286,1
hier_fs,192,8,24,3,sub_6,36369,4180,0.3925,0.5987,7.6449,0.0111,14656,79.42,0.1286,1
hier_fs,192,8,24,3,sub_7,36369,4180,0.3925,0.7955,7.416,0.0112,14656,80.39,0.1286,1
hier_fs,192,8,24,3,glue,14405,1828,0.2492,0.6677,4.0343,0.0111,14656,38.3,0.1286,1
hier_fs,480,2,240,1,sub_0,390773,48534,2.0796,0.7945,12.6944,0.0135,14656,565.95,0.0778,1
hier_fs,480,2,240,1,sub_1,390773,48534,2.0796,0.7978,12.6819,0.0139,14656,565.76,0.0778,1
hier_fs,480,2,240,1,glue,6987,1368,0.21,0.2312,0.3555,0.0208,14656,31.05,0.0778,1
hier_fs,480,2,240,2,sub_0,390773,48534,2.0796,0.8212,12.6139,0.0132,14656,566.02,0.0674,1
hier_fs,480,2,240,2,sub_1,390773,48534,2.0796,0.8226,12.7089,0.0191,14656,565.99,0.0674,1
hier_fs,480,2,240,2,glue,6987,1368,0.21,0.2445,0.3483,0.0132,14656,30.86,0.0674,1
hier_fs,480,2,240,3,sub_0,390773,48534,2.0796,0.8189,12.7469,0.0128,14656,566.02,0.0723,1
hier_fs,480,2,240,3,sub_1,390773,48534,2.0796,0.7853,12.7248,0.0124,14656,566.21,0.0723,1
hier_fs,480,2,240,3,glue,6987,1368,0.21,0.2385,0.3656,0.0138,14656,30.65,0.0723,1
hier_fs,480,4,120,1,sub_0,196073,24174,1.1508,0.6451,13.7737,0.0188,14656,313.05,0.0895,1
hier_fs,480,4,120,1,sub_1,196073,24174,1.1508,0.6099,13.7458,0.022,14656,312.85,0.0895,1
hier_fs,480,4,120,1,sub_2,196073,24174,1.1508,0.7818,13.6541,0.0214,14656,312.78,0.0895,1
hier_fs,480,4,120,1,sub_3,196073,24174,1.1508,0.834,13.6204,0.017,14656,312.88,0.0895,1
hier_fs,480,4,120,1,glue,10109,1772,0.2269,0.3063,0.7615,0.0117,14656,35.93,0.0895,1
hier_fs,480,4,120,2,sub_0,196073,24174,1.1508,0.8209,13.5288,0.0144,14656,312.18,0.0975,1
hier_fs,480,4,120,2,sub_1,196073,24174,1.1508,0.5926,13.641,0.0142,14656,312.75,0.0975,1
hier_fs,480,4,120,2,sub_2,196073,24174,1.1508,0.7874,13.5531,0.0215,14656,312.62,0.0975,1
hier_fs,480,4,120,2,sub_3,196073,24174,1.1508,0.5836,13.316,0.0214,14656,312.52,0.0975,1
hier_fs,480,4,120,2,glue,10109,1772,0.2269,0.3121,0.7904,0.0179,14656,35.98,0.0975,1
hier_fs,480,4,120,3,sub_0,196073,24174,1.1508,0.809,13.5658,0.0176,14656,312.99,0.089,1
hier_fs,480,4,120,3,sub_1,196073,24174,1.1508,0.5975,13.1116,0.022,14656,312.85,0.089,1
hier_fs,480,4,120,3,sub_2,196073,24174,1.1508,0.6484,13.6645,0.0222,14656,312.56,0.089,1
hier_fs,480,4,120,3,sub_3,196073,24174,1.1508,0.809,13.4845,0.0191,14656,313.09,0.089,1
hier_fs,480,4,120,3,glue,10109,1772,0.2269,0.2905,0.7841,0.0115,14656,35.84,0.089,1
hier_fs,480,8,60,1,sub_0,98723,11994,0.6402,0.8778,15.1272,0.0143,14656,159.59,0.1361,1
hier_fs,480,8,60,1,sub_1,98723,11994,0.6402,0.8148,15.1303,0.0144,14656,158.83,0.1361,1
hier_fs,480,8,60,1,sub_2,98723,11994,0.6402,1.0068,15.0673,0.0209,14656,159.46,0.1361,1
hier_fs,480,8,60,1,sub_3,98723,11994,0.6402,0.8324,14.8005,0.0212,14656,159.66,0.1361,1
hier_fs,480,8,60,1,sub_4,98723,11994,0.6402,0.8938,15.1797,0.0141,14656,159.18,0.1361,1
hier_fs,480,8,60,1,sub_5,98723,11994,0.6402,0.7609,14.8116,0.0119,14656,159.55,0.1361,1
hier_fs,480,8,60,1,sub_6,98723,11994,0.6402,0.7317,14.428,0.0117,14656,159.78,0.1361,1
hier_fs,480,8,60,1,sub_7,98723,11994,0.6402,0.786,14.9852,0.0115,14656,159.49,0.1361,1
hier_fs,480,8,60,1,glue,16353,2580,0.2596,0.5681,3.5313,0.0117,14656,41.41,0.1361,1
hier_fs,480,8,60,2,sub_0,98723,11994,0.6402,0.7609,15.023,0.015,14656,159.4,0.1369,1
hier_fs,480,8,60,2,sub_1,98723,11994,0.6402,0.8811,15.1927,0.0152,14656,159.28,0.1369,1
hier_fs,480,8,60,2,sub_2,98723,11994,0.6402,0.7764,15.1825,0.0192,14656,159.51,0.1369,1
hier_fs,480,8,60,2,sub_3,98723,11994,0.6402,0.8153,14.9158,0.015,14656,159.8,0.1369,1
hier_fs,480,8,60,2,sub_4,98723,11994,0.6402,0.7155,15.3133,0.0138,14656,159.22,0.1369,1
hier_fs,480,8,60,2,sub_5,98723,11994,0.6402,0.925,15.1422,0.0126,14656,159.32,0.1369,1
hier_fs,480,8,60,2,sub_6,98723,11994,0.6402,0.8495,15.1412,0.0132,14656,159.57,0.1369,1
hier_fs,480,8,60,2,sub_7,98723,11994,0.6402,0.7579,15.3019,0.012,14656,159.67,0.1369,1
hier_fs,480,8,60,2,glue,16353,2580,0.2596,0.7081,3.8982,0.0119,14656,41.42,0.1369,1
hier_fs,480,8,60,3,sub_0,98723,11994,0.6402,0.7876,15.0449,0.0149,14656,159.22,0.1285,1
hier_fs,480,8,60,3,sub_1,98723,11994,0.6402,0.7331,15.348,0.0166,14656,159.37,0.1285,1
hier_fs,480,8,60,3,sub_2,98723,11994,0.6402,0.8138,15.0368,0.0219,14656,159.18,0.1285,1
hier_fs,480,8,60,3,sub_3,98723,11994,0.6402,0.7807,14.2073,0.0208,14656,159.55,0.1285,1
hier_fs,480,8,60,3,sub_4,98723,11994,0.6402,0.718,14.7309,0.0176,14656,159.11,0.1285,1
hier_fs,480,8,60,3,sub_5,98723,11994,0.6402,0.7304,15.1112,0.0117,14656,159.19,0.1285,1
hier_fs,480,8,60,3,sub_6,98723,11994,0.6402,1.0889,15.0367,0.0114,14656,159.47,0.1285,1
hier_fs,480,8,60,3,sub_7,98723,11994,0.6402,0.9834,15.0607,0.0112,14656,159.38,0.1285,1
hier_fs,480,8,60,3,glue,16353,2580,0.2596,0.6573,3.2001,0.0113,14656,42.81,0.1285,1
